20	16507391
18	77888423
14	44588485
11	66084927
10	38221627
10	16452299
10	15620533
8	16566551
7	816653
7	78173122
6	14593917
4	930061
4	23257564
3	89872319
2	87170183
2	62581962
2	37600239
2	2142731
2	19993505
2	101650949
1	9550352
1	94775494
1	90361464
1	8520
1	765
1	70652594
1	659373
1	65119912
1	5520952
1	48632416
1	47753886
1	46440718
1	4574361
1	44849570
1	43541357
1	43083805
1	36634285
1	348992702
1	310182867
1	2890961
1	25082055
1	20536157
1	18681139
1	184648622
1	184647530
1	18366419
1	183201026
1	17433151
1	167816944
1	15818391
1	15414807
1	130677815
1	13000292
1	126942054
1	112336957
1	10650592
1	1025861520
1	1025836658
